atmosphere_bottom_air, temperature, -,          T_air,   [deg_C],  input
atmosphere_water, snowfall_leq-volume_flux, -,  P_snow,  [m s-1],  input
land_surface, temperature, -,                   T_surf,  [deg_C],  input     
water-liquid, mass-per-volume_density, -,       rho_H2O, [kg m-3], input

model, time_step, -,                                 dt,       [s],            config/output
snowpack, degree-day_coefficient, -,                 c0,       [mm day-1 K-1], config/output
snowpack, degree-day_threshold_temperature, -,       T0,       [deg_C],        config/output
snowpack, depth, -,                                  h_snow,   [m],            output
snowpack, melt_volume_flux, domain_time_integral_of, vol_SM,   [m3],           output
snowpack, initial_depth, -,                          h0_snow,  [m],            config/output
snowpack, initial_liquid-equivalent_depth, -,        h0_swe,   [m],            config/output
snowpack, liquid-equivalent_depth, -,                h_swe,    [m],            output
snowpack, melt_volume_flux, -,                       SM,       [m s-1],        output
snowpack, mass-per-volume_density, z_mean_of,        rho_snow, [kg m-3],       config/output
